Datetime;Ambient Temperature [ºC];Global Radiation [W/m2];Diffuse Radiation [W/m2];Ultraviolet [W/m2];Wind Velocity [m/s];Wind Direction [º];Precipitation [mm];Atmospheric pressure [hPa]
2017-09-07T06:53:00+01:00;22.0;74.188832;41.480332;4.500071;0.633333;326.00152;0.0;1012.8
2017-09-07T06:56:00+01:00;22.0;81.936424;44.778516;4.864243;0.666667;336.33588;0.0;1012.8666
2017-09-07T06:57:00+01:00;22.0;85.089352;45.457716;4.981666;0.6;342.33116;0.0;1012.85
2017-09-07T07:01:00+01:00;22.033332;96.974304;48.569576;5.48329;0.55;337.66864;0.0;1012.9
2017-09-07T07:06:00+01:00;22.183332;111.98686;52.680068;6.14692;0.45;297.79236;0.0;1012.9
2017-09-07T07:11:00+01:00;22.4;127.01616;56.117544;6.837958;0.416667;334.6684;0.0;1013.0
2017-09-07T07:17:00+01:00;22.6;148.71144;61.255724;7.701808;0.466667;338.99908;0.0;1013.0
2017-09-07T07:34:00+01:00;23.199998;205.06962;72.626192;10.334328;0.366667;11.268436;0.0;1013.0
2017-09-07T07:36:00+01:00;23.300002;213.81612;74.6972;10.65189;0.533333;322.06318;0.0;1013.0
2017-09-07T07:38:00+01:00;23.416666;218.67998;76.520624;10.982478;0.216667;81.591368;0.0;1013.0
2017-09-07T07:41:00+01:00;23.833334;227.0725;77.071016;11.49068;0.133333;191.872;0.0;1013.0
2017-09-07T07:42:00+01:00;24.0;228.99312;76.7228;11.656212;0.1;223.15412;0.0;1013.0
2017-09-07T07:44:00+01:00;24.349998;233.00276;77.7362;12.004664;0.166667;227.59188;0.0;1013.0
2017-09-07T07:47:00+01:00;24.716668;246.57332;80.434696;12.543072;0.333333;42.568316;0.0;1013.0834
2017-09-07T07:55:00+01:00;25.683332;289.50574;87.319336;14.002872;0.8;31.843538;0.0;1013.1
2017-09-07T07:56:00+01:00;25.633334;293.79032;89.060728;14.190686;0.45;52.91716;0.0;1013.1
2017-09-07T07:58:00+01:00;25.6;300.48098;91.32956;14.566882;0.566667;161.61864;0.0;1013.1
2017-09-07T08:05:00+01:00;25.249998;331.49636;98.613928;15.96516;0.983333;39.66806;0.0;1013.1
2017-09-07T08:06:00+01:00;25.199998;335.55088;99.018912;16.169394;0.483333;26.468532;0.0;1013.1
2017-09-07T08:07:00+01:00;25.216668;337.49904;98.749064;16.364258;0.2;329.385;0.0;1013.1
2017-09-07T08:13:00+01:00;25.699998;358.50932;101.64278;17.63914;0.65;21.001844;0.0;1013.1
2017-09-07T08:32:00+01:00;26.983332;414.45948;107.84604;21.387742;0.333333;316.19748;0.0;1013.3
2017-09-07T08:34:00+01:00;26.950002;423.52812;110.55988;21.768026;0.45;74.819312;0.0;1013.4
2017-09-07T08:39:00+01:00;27.233332;439.9924;110.77848;22.796226;0.866667;39.97468;0.0;1013.4
2017-09-07T08:43:00+01:00;27.300002;457.309;114.09978;23.582098;0.683333;97.841816;0.0;1013.4168
2017-09-07T08:44:00+01:00;27.300002;459.76204;112.9484;23.784834;0.216667;114.30202;0.0;1013.4334
2017-09-07T08:53:00+01:00;27.666666;491.2472;113.87586;25.557584;0.566667;148.96542;0.0;1013.5
2017-09-07T08:55:00+01:00;27.966668;499.69136;113.88806;25.972128;1.1;163.04758;0.0;1013.5
2017-09-07T09:13:00+01:00;28.300002;542.76008;123.82428;29.4662;2.0;169.0223;0.0;1013.6
2017-09-07T09:23:00+01:00;28.5;576.23128;127.34834;31.46029;1.983333;152.62816;0.0;1013.7
2017-09-07T09:27:00+01:00;28.416666;584.45;126.76318;32.174786;1.3;173.02434;0.0;1013.7
2017-09-07T09:29:00+01:00;28.5;592.22328;128.9424;32.543636;1.716667;159.7072;0.0;1013.7
2017-09-07T09:30:00+01:00;28.416666;595.95892;129.11092;32.752202;2.333333;157.32962;0.0;1013.7
2017-09-07T09:32:00+01:00;28.300002;604.14864;131.82916;33.150558;2.366667;177.11998;0.0;1013.8
2017-09-07T09:33:00+01:00;28.199998;607.36552;131.71918;33.327976;2.1;160.67012;0.0;1013.8
2017-09-07T09:34:00+01:00;28.150002;612.00916;132.68994;33.528836;2.683334;157.97678;0.0;1013.8
2017-09-07T09:35:00+01:00;28.1;615.477;133.2393;33.697756;1.983334;188.70124;0.0;1013.8
2017-09-07T09:41:00+01:00;28.1;638.41808;133.84936;34.892688;2.366667;137.18542;0.0;1013.8
2017-09-07T09:42:00+01:00;28.1;644.08124;135.26862;35.057432;2.916667;150.83444;0.0;1013.8
